Afghanistan;Badakhshan
Afghanistan;Badakhshan
Afghanistan;Badghis
Afghanistan;Baghlan
Afghanistan;Balkh
Afghanistan;Bamyan
Afghanistan;Daykundi
Afghanistan;Farah
Afghanistan;Faryab
Afghanistan;Ghazni
Afghanistan;Ghōr
Afghanistan;Helmand
Afghanistan;Herat
Afghanistan;Jowzjan
Afghanistan;Kabul
Afghanistan;Kandahar
Afghanistan;Kapisa
Afghanistan;Khost
Afghanistan;Kunar
Afghanistan;Kunduz Province
Afghanistan;Laghman
Afghanistan;Logar
Afghanistan;Nangarhar
Afghanistan;Nimruz
Afghanistan;Nuristan
Afghanistan;Paktia
Afghanistan;Paktika
Afghanistan;Panjshir
Afghanistan;Parwan
Afghanistan;Samangan
Afghanistan;Sar-e Pol
Afghanistan;Takhar
Afghanistan;Urozgan
Afghanistan;Zabul
Albania;Berat District
Albania;Dibër County
Albania;Durrës District
Albania;Fier County
Albania;Gjirokastër District
Albania;Korçë County
Albania;Kukës District
Albania;Lezhë County
Albania;Shkodër District
Albania;Tirana District
Albania;Vlorë County
Algeria;Adrar
Algeria;Aïn Defla
Algeria;Aïn Témouchent
Algeria;Algiers
Algeria;Annaba
Algeria;Batna
Algeria;Béchar
Algeria;Béjaïa
Algeria;Biskra
Algeria;Blida
Algeria;Bordj Bou Arréridj
Algeria;Bouïra
Algeria;Boumerdès
Algeria;Chlef
Algeria;Constantine
Algeria;Djelfa
Algeria;El Bayadh
Algeria;El Oued
Algeria;El Tarf
Algeria;Ghardaïa
Algeria;Guelma
Algeria;Illizi
Algeria;Jijel
Algeria;Khenchela
Algeria;Laghouat
Algeria;M'Sila
Algeria;Mascara
Algeria;Médéa
Algeria;Mila
Algeria;Mostaganem
Algeria;Naama
Algeria;Oran
Algeria;Ouargla
Algeria;Oum El Bouaghi
Algeria;Relizane
Algeria;Saïda
Algeria;Sétif
Algeria;Sidi Bel Abbès
DZ;22
Algeria;Skikda
Algeria;Souk Ahras
Algeria;Tamanghasset
Algeria;Tébessa
Algeria;Tiaret
Algeria;Tindouf
Algeria;Tipasa
Algeria;Tissemsilt
Algeria;Tizi Ouzou
Algeria;Tlemcen
Andorra;Andorra la Vella
Andorra;Canillo
Andorra;Encamp
Andorra;Escaldes-Engordany
Andorra;La Massana
Andorra;Ordino
Andorra;Sant Julià de Lòria
Angola;Bengo Province
Angola;Benguela Province
Angola;Bié Province
Angola;Cabinda Province
Angola;Cuando Cubango Province
Angola;Cuanza Norte Province
Angola;Cuanza Sul
Angola;Cunene Province
Angola;Huambo Province
Angola;Huíla Province
Angola;Luanda Province
Angola;Lunda Norte Province
Angola;Lunda Sul Province
Angola;Malanje Province
Angola;Moxico Province
Angola;Uíge Province
Angola;Zaire Province
Antigua And Barbuda;Barbuda
Antigua And Barbuda;Saint George Parish
Antigua And Barbuda;Saint John Parish
Antigua And Barbuda;Saint Mary Parish
Antigua And Barbuda;Saint Paul Parish
Antigua And Barbuda;Saint Peter Parish
Argentina;Buenos Aires
Argentina;Catamarca
Argentina;Chaco
Argentina;Chubut
Argentina;Córdoba
Argentina;Corrientes
Argentina;Entre Ríos
Argentina;Formosa
Argentina;Jujuy
Argentina;La Pampa
Argentina;La Rioja
Argentina;Mendoza
Argentina;Misiones
Argentina;Neuquén
Argentina;Río Negro
Argentina;Salta
Argentina;San Juan
"Argentina;""San Luis	"""
